Year,Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Player_Link
2025,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*6/DH,
2025,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*D3/5H,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*D1,
2025,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*3,
2025,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*D/7,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*6/H,
2025,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*9/D,
2025,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*8/DH,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*3/D,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*7/D,
2025,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*2D/H,
2025,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*6/DH,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*D9/7H,
2025,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*78/H9D,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*7/DH,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*7/D8,
2025,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*9/D,
2025,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*7D/H,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*6/D,
2025,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*6/D,
2025,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*8/DH,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*3D,
2025,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*3D/H,
2025,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9D/H,
2025,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*5D,
2025,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*3D4/H,
2025,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*5D,
2025,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*4,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*564/8DH9,
2025,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*6/H9,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*7/DH,
2025,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*7/DH,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*2D/37,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*4/H6,
2025,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*5/D3H,
2025,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*798/3H,
2025,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*7D8/H9,
2025,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4D7/H,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*6/H,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*9D/H,
2025,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*6/HD,
2025,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*5/DH3,
2025,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*7/8DH,
2025,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*D3,
2025,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*6/DH,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D97/H8,
2025,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*4/6,
2025,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*4/6DH,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*3D/H,
2025,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*8/HD,
